支出予算,商品名,型番,販売店,数量,単価,小計,URL
ひびきの教育・研究推進費,Raspberry Pi 4 Model B/8GB,SC0195,Raspberry Pi Shop,8,"¥13,970","¥111,760",https://raspberry-pi.ksyic.com/?pdp.id=552
ひびきの教育・研究推進費,Raspberry Pi用 カメラケーブル 30CM + 50CM 2個 RPi用リボンフレックス延長ケーブル FFCケーブル カメラ モジュール 15ピン 延長ケーブル コネクタ ラズベリーパイモジュールカメラ用,,AMAZON,10,¥520,"¥5,200",https://www.amazon.co.jp/dp/B08S421FZH
